#,Grup Kodu,Tarih,Seri No,Sıra No,Fatura Türü,Fatura Tipi ,Cari Kodu,Cari Ünvanı,Cari Grup Kodu,Özel Kod,Tutar,İskonto,ÖTV,KDV Matrahı,KDV,Tevkifat,Toplam,Döviz Toplam,Döviz Cinsi,Döviz Kur,Vade
1,,11/01/2022,TRM,1,Satış Faturası,,120.01.1646,ABBAS 1,,,750,0,0,750,60.0,0,810.0,"810,00",TL,1,1
2,,11/01/2022,TRM,2,Satış Faturası,,120.01.097,ABBAS 2,,,2480,0,0,2480,198.4,0,2678.4,"2.678,40",TL,1,1
3,,14/01/2022,TRM,3,Satış Faturası,,120.01.1668,ABBAS 3,,,330,0,0,330,26.4,0,356.4,"356,40",TL,1,1
4,,14/01/2022,TRM,4,Satış Faturası,,120.01.625,ABBAS 4,,,1850,0,0,1850,148.0,0,1998.0,"1.998,00",TL,1,1
5,,17/01/2022,TRM,5,Satış Faturası,,320.01.254,ABBAS 5,,,2070,0,0,2070,165.6,0,2235.6,"2.235,60",TL,1,1
6,,18/01/2022,TRM,6,Satış Faturası,,120.01.1879,ABBAS 6,,,995,0,0,995,79.6,0,1074.6,"1.074,60",TL,1,1
7,,19/01/2022,TRM,7,Satış Faturası,,120.01.1969,ABBAS 7,,,2030,0,0,2030,162.4,0,2192.4,"2.192,40",TL,1,1
8,,19/01/2022,TRM,8,Satış Faturası,,120.01.1879,ABBAS 8,,,385,0,0,385,30.8,0,415.8,"415,80",TL,1,1
9,,22/01/2022,TRM,9,Satış Faturası,,120.01.1231,ABBAS 9,,,1320,0,0,1320,105.6,0,1425.6,"1.425,60",TL,1,1
10,,22/01/2022,TRM,10,Satış Faturası,,120.01.1634,ABBAS 10,,,1590,0,0,1590,127.2,0,1717.2,"1.717,20",TL,1,1
11,,26/01/2022,TRM,11,Satış Faturası,,120.01.1542,ABBAS 11,,,1780,0,0,1780,142.4,0,1922.4,"1.922,40",TL,1,1
